txid,size,mappings,time,real_mapping_found
03fed982768c0ffc3b53ccaba791d865bd2fab18cd45edc2f2bf40112c819a22,18,1,0.0149061679840088,True
16748a8948686a4930e19f6c134e47e1940af72428f01607b8ad3ad25395bcf4,19,35,0.0565547943115234,True
cb217ce2b38846332dccb9f4b6af9fbe2f61430d94a655048a14c5ce636a7f86,19,1,0.0269863605499268,True
79023dda453339650b63051532ac542f9e24912a946551886b841156eab3ff3a,28,172756,29265.5941989422,True
33fcdabebfc0f258c77601ef1e05ad639f1b8006afed9b7bb51c95e4640a04b4,28,82053,6159.36367154121,True
9e2a0cffe6a9cae8e02eec019ab43411fe7419bee83eacf48172c9bee7bed698,29,20763,991.119750022888,True
83e60184bc58bf2f45fb040ac8de6f18aa1cf2a8fa57d788491d8ffdaeaaabc6,30,545,0.664366006851196,True
4bae5a91df941476655115af52e12891427a51f3b2c16ef04f4cb3fbff685bf5,30,545276,46284.7171673775,True
671d06c7fe14374b872a74c4ea90ad0b4a54a586d432efb0c1962f1c1fd81d63,31,3655,358070.86733079,True
0ad29804660319d4178ef4885a4faf0cb8d8dfb0a1ec95712123776488d1c113,32,1420446,71980.2118966579,True
778a9fa3340ee089989c657ef9d8de08d9387a4cc40d5b328d63eb38a1ec84f8,18,1,0.0117788314819336,True
63cd45d55240d0daabe641c3368ec91cc9669728ebdc7d1b9a11c9dd58feb55b,20,3,0.0236084461212158,True
ff7d0140b0ba8207701b290843999a04ff1248facb3b0accdce741184cdaacf7,26,307255,2343.62831187248,True
08182ea0272b1189d37a589ba4d139e45e7bdd1ab9cde16895f22b7ccafcf21f,27,77811,3442.96254277229,True
d0af14a4b781270f5dcac634f4a6fcc6883ec5aaf2746bb83af0af1081c6f4ce,27,6902,107.304669380188,True
6a19514cc93ad9d0e0263b2b356d4a4d74e355855560cf15ce03dc868b11865f,29,170520,12118.7204031944,True
4decdf3dd217a76d6ccd3b70bd32e4e4848c808b14dbdba18da6240814150471,30,2794445,699795.417542934,True
9e27a28b5e501dd9adc2604d1beb2f58bc9dea70e7e50cb6c7dc9c1c242152ed,30,8527,434.152251005173,True
c8a6b04bfbb5594e25940da056a58bdd4940e6ddb0da3625530b0b97fec5480a,31,477,79072.478509903,True
0ed24e59f55717e9f90eb9414bdbfd7b576c2c2dbf8b8c5518115018752c74df,16,17,0.0298764705657959,True
2766e5b7e2d12aebad2081817fcfab429f9abf9bb77ecc10d4dafda280b34a03,19,1,0.023775577545166,True
6b3c84ccd0d1802aba5061755e43b7e52e26e7112087a0bc72c20a74d01fb280,20,44,0.218184947967529,True
255429786c61257c6599bb476959848cc2b4b80fc0a8804671d866c17e972bcf,24,906,4.66793346405029,True
5cfb4edb36b979dd019d4dbd49c7a6ce0d54e3a0f29fea6ea84a6e3e23b053cd,27,340210,51882.0705237389,True
631dcd581c0d96d0bff4a1504a72ffe2fb6d9e944a472097400daf61f8b67d00,28,378,13.2747631072998,True
fb69522e61cc68508b196ca0d2a75428fd4de5970afc7ae3c60a3747d280fa03,29,476885,10152.9447169304,True
fd45a0405fe1666d224b20cf05523e13b04ee6782b5d42b0e4d68a4811416fb3,30,25808,1258.88318586349,True
ab4c7df88e516379cbdd40722d474953ea54d0a22c51a5fef0855d644b7771a0,30,25147,900.380060911179,True
ce5318173feba9fd4c6534c05d705d919d7bc2d1a1f13587ed4f8e3b2e1953ae,30,10876,65.1049191951752,True
d429393615c71fb1a0f350119a82ceae7b29f6dc20c93a1a3d416f69e5b8d2db,30,70575,546.660184383392,True
711970349a5d40222972cf9b38ea56f05e72bdc199b5db88e00aaf4a9c1a39ad,30,1872,0.490845680236816,True
b3ecd8393a197eea3b25393992e8ed55f2104c3c59714ac0d1586f7bb3f21987,31,347703,654488.970613241,True
70c895e9b79665f39ed20d53cf69fc347e77c5a91ebaa08bf467cb3e8f9560f4,31,10744,177.865192174912,True
3f0e4cfe1cab9abd7212881ea441845bd012702a62c86ade660514fc16c2b671,32,45815,509.457928180695,True
41bee1c40dc72508a0d9946460222d5bb7eef258c14e89160447aa6ed28135fa,20,400,0.424011707305908,True
3542b58a9af8767ba51b11348478bf57e31e2a87d1abee78460362b4199f9829,23,11590,50.1546096801758,True
8e0fd6b5d043c47291e2c652d6d655d10580097913ba4da37df6fe5d22da2572,24,136,0.0677139759063721,True
813b9ed8e7f979e6ba49f3067b2cf571743b6e26bcfddee4f2ce7709a4b6a7e3,28,54652,319.246247053146,True
1630f5e7896c71b97979ff77609738ffcc0a59f7bbb4212c576e95cc4560cc65,29,205600,3588.12367916107,True
4adc389daf461ecde13f9af9aa5d7b9ca710fc4a1523c9d6698cd8d7e5cbddc3,30,2898,174.088384866714,True
ed8b206f649e14950c9ec884de4f49a6fef734cb2a093a2b596e2a8cc798efb4,25,2678,14.7126505374908,True
f3a45b6042b12d881c4018df43b6b74e9a475e5ecf243719b42b7af334d34ca5,28,9900,162.473906755447,True
d98a6b1a099037be4fd2b477932f47983097f5072b24b59bafc1bcaf78d0c6ed,28,34297,261.060263872147,True
25809660820b93e7c6d42477e7f56d4830bcd9908828a317e45b37cd955ca422,28,20439,1487.7749247551,True
1b531ab4dc4234fbf36ea19d69de62666f469b2e6f1a4dc8e5ae3fe098c1528a,29,73068,23449.8016798496,True
1c5a7a39984e7b6275aecf86fc06b4250b007df3baf4ccd473956a87922ea963,29,359281,262142.607151747,True
26b344a954d4b6414ff6c69528115263803acd2888837684b49535d4063f7228,31,2404,4.50675296783447,True
1986ade5692d5f31a26d957664fb01851fdf4e6af12a8f83e6758db73e9834ea,31,143053,111471.335477591,True
58b9f1bfb3c8a97f4b03bffe320f0da36692b9ccf69e556c46a70b3a3a5f8ade,21,265,0.22522497177124,True
a77c7dcf923949eb03ab27ed7699448ccfc8f7c9dd35ff19a81b276f8c958e82,22,34903,40.0592045783997,True
cf24b3ec6e55447f192a0bfbcf8fbf8df8e17dda1c4ad0dc911fed624c9babe0,24,15091,97.9108486175537,True
00610c1a78b9f722c95d7fda65b130395973748b17c07bb914eccc327c6e7268,25,1365,0.777344703674316,True
